"Test","Genotype","AgScore","Bulk.Weight","HT","Hundred.Seed.Weight","LDG","Oil.Dry.Basis","P_O","Protein.Dry.Basis"
"Yield Test 3","N18-1937",2.58333333333333,1900.33700510949,39.1666666666666,17.625,2.16666666666666,21.285,68.1083333333333,46.8233333333333
"Yield Test 3","N18-1944",3,2077.69488780992,33.3333333333333,13.975,2.25,21.3166666666666,67.1616666666666,45.845
"Yield Test 3","N18-1946",2.41666666666667,1922.41889373767,32.1666666666666,14.7,2.08333333333333,22.3326430348258,68.0632649253731,45.7306218905472
"Yield Test 3","N18-1950",2.75,2075.99343575481,38.5,18.525,2.25,23.86,67.2433333333333,43.3833333333333
"Yield Test 3","N18-1953",2.75,2050.65659536904,35.3333333333333,19.825,2,22.1533333333333,66.8083333333333,44.655
"Yield Test 3","N18-1959",3.33333333333333,1975.68174068003,37.8333333333333,17.525,2.83333333333333,20.895,67.8733333333333,46.9783333333333
"Yield Test 3","N18-1960",2.58333333333333,1872.55895090552,40.1666666666666,17.45,2.25,19.6583333333333,68.3966666666666,48.7383333333333
"Yield Test 3","N18-1962",2.75,2074.36595987602,37.8333333333333,15.225,2.33333333333333,23.0783333333333,67.835,44.7566666666666
"Yield Test 3","N18-1963",2.5,1495.48589305729,36.8333333333333,17.0536516853933,2.33333333333333,22.9866666666667,67.6016666666666,44.6149999999999
"Yield Test 3","N18-1966",2.83333333333333,1999.28014092255,39.1666666666666,15.2,2.25,21.7183333333333,68.3866666666666,46.6683333333333
"Yield Test 3","N18-1978",2.16666666666666,2138.13342385423,36,18.275,1.75,22.44,67.1983333333333,44.7583333333333
"Yield Test 3","N18-1981",2.41666666666666,1815.93018794111,31.5,15.05,2.25,20.3516666666667,69.1233333333333,48.7716666666666
"Yield Test 3","N18-1982",3.08333333333333,2038.30257392546,32.8333333333333,17.475,2.41666666666666,23.4483333333333,67.7183333333333,44.27
"Yield Test 3","N18-1990",2.66666666666666,1935.06881988648,34.3333333333333,16.35,2.16666666666667,22.6016666666666,67.595,44.9933333333333
"Yield Test 3","N18-1991",2.33333333333333,1871.56027252535,37.6666666666666,19.975,2.08333333333333,20.8609763681592,68.3715982587064,47.5106218905472
"Yield Test 4","Dilday",2.74999999999999,2328.14123270347,37.3333333333332,18.275,2.16666666666664,23.0600000000001,63.7733333333332,40.7133333333333
"Yield Test 4","Dunphy",2.08333333333333,2349.92721662642,28.8333333333333,17.075,1.49999999999999,22.3083333333333,63.3283333333333,41.02
"Yield Test 4","LMN09-19",2.33333333333333,2090.38180204688,41,18.475,1.74999999999999,19.6966666666667,69.1733333333333,49.4766666666667
"Yield Test 4","N.C. Raleigh",2,2459.63388609242,38.8333333333333,14.075,1.83333333333332,24.18,64.26,40.08
"Yield Test 4","N13-47",2.91666666666666,2107.39632259791,39.5,14.775,2.75,25.2283333333333,64.245,39.0166666666667
"Yield Test 4","N18-1831",3.25,1952.67514984798,34.8333333333333,18.45,2.58333333333332,20.84,68.145,47.305
"Yield Test 4","N18-1832",2.58333333333334,2156.10963469727,42.9999999999999,18.675,2.33333333333331,22.865,66.4233333333333,43.5583333333333
"Yield Test 4","N18-1839",2.75,2129.55218740241,37.6666666666667,11.05,2.5,22.105,66.6666666666666,44.5616666666667
"Yield Test 4","N18-1841",2.58333333333333,2343.60225355202,36.5,20.325,2.16666666666666,22.6883333333333,65.4133333333333,42.725
"Yield Test 4","N18-1842",2.41666666666666,2043.36994200262,39.5,19.55,2.16666666666667,21.3483333333333,67.7883333333333,46.44
"Yield Test 4","N18-1846",2.33333333333334,1914.42946669631,39.3333333333333,18.425,1.99999999999998,21.6733333333333,64.9483333333333,43.275
"Yield Test 4","N18-1849",3.08333333333333,2186.06998610236,37,15.45,2.91666666666666,22.3233333333333,64.7466666666666,42.4233333333333
